gtd_gname,year,suicide,name,base,cow_id1,tios_groupid,gtd_countrycode,marob_orgid,acled_name1,acled_name2,acled_name3,acled_name4,acled_name5,acled_name6,acled_name7,acled_name8,groupid,church,clinic,court,cultural,financial,foodbank,hospital,loan,madrassa,medic,medical,microloan,militia,minister,mosque,news,party,police,radio,reconstruction,school,septic,shadow,social,sport,teacher,trash,religion,infrastructure,health,education,finance,security,religionmean,infrastructuremean,healthmean,educationmean,financemean,securitymean,socialmean,total,totalmean,churchdich,madrassadich,ministerdich,mosquedich,reconstructiondich,septicdich,trashdich,clinicdich,hospitaldich,medicdich,schooldich,teacherdich,loandich,microloandich,militiadich,culturaldich,socialdich,sportdich,courtdich,newsdich,radiodich,eduhealthdiversity,numgroups,educationdich,healthdich,totdivcount,society,societymean,artcount,words,sentences
Basque Fatherland and Freedom (ETA),2003,0,Basque Fatherland and Freedom (ETA),Spain,230,56.0,185,,,,,,,,,,56,60,6,307,0,0,0,0,16,0,26,0,0,5,0,0,670,0,0,187,0,88,0,15,2,41,13,2,60,2,32,101,16,5,12.0,0.66666669,10.666667,50.5,8.0,5,0.66666669,293,14.65,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,2,1,1,13,43,14.333332999999998,627,507357,16583
Basque Fatherland and Freedom (ETA),2004,0,Basque Fatherland and Freedom (ETA),Spain,230,56.0,185,,,,,,,,,,56,84,7,313,0,0,0,0,12,2,77,0,0,14,0,0,2162,0,0,435,0,291,0,58,3175,148,69,5,86,5,84,360,12,14,17.200001,1.6666666,28.0,180.0,6.0,14,1058.3334,4007,200.35001,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,2,1,1,14,3323,1107.6666,1998,1685461,61808
Basque Fatherland and Freedom (ETA),2005,0,Basque Fatherland and Freedom (ETA),Spain,230,56.0,185,,,,,,,,,,56,59,5,241,0,0,0,0,3,0,16,0,0,4,0,0,794,0,0,169,0,63,0,22,14800,121,14,0,59,0,21,77,3,4,11.8,0.0,7.0,38.5,1.5,4,4933.3335,15133,756.65002,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,2,1,1,12,14921,4973.6665,677,495585,16638
Basque Fatherland and Freedom (ETA),2006,0,Basque Fatherland and Freedom (ETA),Spain,230,56.0,185,,,,,,,,,,56,66,0,382,0,0,0,0,16,1,19,0,0,9,0,0,1832,0,0,355,0,107,0,21,5996,32,23,2,67,2,19,130,16,9,13.4,0.66666669,6.3333335,65.0,8.0,9,1998.6666,6362,318.10001,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,2,3,1,0,13,6028,2009.3334,706,575572,15977
Basque Fatherland and Freedom (ETA),2007,0,Basque Fatherland and Freedom (ETA),Spain,230,56.0,185,,,,,,,,,,56,42,4,395,0,0,0,0,3,1,22,0,0,14,0,0,1105,0,0,226,0,79,0,14,12595,45,13,1,43,1,26,92,3,14,8.6000004,0.33333334,8.666667,46.0,1.5,14,4198.3335,12853,642.65002,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,2,1,1,14,12640,4213.3335,812,514900,16314
Basque Fatherland and Freedom (ETA),2008,0,Basque Fatherland and Freedom (ETA),Spain,230,56.0,185,,,,,,,,,,56,120,1,302,0,0,0,0,6,0,13,0,0,2,0,0,434,0,0,93,0,55,0,13,2052,28,9,3,120,3,14,64,6,2,24.0,1.0,4.6666665,32.0,3.0,2,684.0,2334,116.7,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,3,1,1,13,2080,693.33331,590,362057,11892
Basque Fatherland and Freedom (ETA),2009,0,Basque Fatherland and Freedom (ETA),Spain,230,56.0,185,,,,,,,,,,56,22,2,184,0,0,0,0,5,0,8,0,0,4,0,0,348,0,0,50,0,47,0,11,756,30,16,0,22,0,10,63,5,4,4.4000001,0.0,3.3333333,31.5,2.5,4,252.0,910,45.5,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,2,1,1,12,786,262.0,490,304465,10779
Basque Fatherland and Freedom (ETA),2010,0,Basque Fatherland and Freedom (ETA),Spain,230,56.0,185,,,,,,,,,,56,15,0,387,0,0,0,0,4,0,13,0,0,5,0,0,313,0,0,53,0,29,0,6,4,45,7,0,15,0,13,36,4,5,3.0,0.0,4.3333335,18.0,2.0,5,1.3333334,132,6.599999900000001,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,2,1,1,0,11,49,16.333334,495,305457,10186
Basque Fatherland and Freedom (ETA),2011,0,Basque Fatherland and Freedom (ETA),Spain,230,56.0,185,,,,,,,,,,56,54,5,246,0,0,0,0,5,0,6,0,0,1,0,0,295,0,0,30,0,44,0,18,196,45,14,1,54,1,11,58,5,1,10.8,0.33333334,3.6666667,29.0,2.5,1,65.333336,408,20.4,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,2,1,1,13,241,80.333336,418,306272,11150
Bersatu,2006,0,Bersatu,Thailand,800,342.0,205,,,,,,,,,,342,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,0,0,5676,0,25,0,0,0,0,58,0,0,0.0,0.0,0.0,29.0,0.0,0,1892.0,5734,286.70001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,2,4,1,0,5,5676,1892.0,50,37915,1349
Black Brigade,1985,0,Black Brigade,Lebanon,660,445.0,110,,,,,,,,,,445,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,12,0,0,0,0,4878,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,6,1626.0,4884,244.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,7,0,0,4,4878,1626.0,9,5443,182
Black December,1973,0,Black December,Pakistan,770,171.0,153,,,,,,,,,,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8411,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2803.6667,8411,420.54999000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8411,2803.6667,2,184,1
Black Panther Group (Palestinian),1986,0,Black Panthers (West Bank/Gaza),"Israel, West Bank/Gaza",666,402.0,97,,,,,,,,,,402,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2265,0,5,0,0,0,0,5,0,0,0.0,0.0,0.0,2.5,0.0,0,755.0,2270,113.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,9,1,0,5,2265,755.0,4,16178,649
Black Panther Group (Palestinian),1989,0,Black Panthers (West Bank/Gaza),"Israel, West Bank/Gaza",666,402.0,97,,,,,,,,,,402,4,0,14,0,0,0,0,0,0,7,0,0,0,0,0,54,0,0,9,0,16,0,1,10772,0,2,0,4,0,7,18,0,0,0.80000001,0.0,2.3333333,9.0,0.0,0,3590.6667,10815,540.75,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,2,11,1,0,8,10772,3590.6667,64,64476,2354
Black Panther Group (Palestinian),1991,0,Black Panthers (West Bank/Gaza),"Israel, West Bank/Gaza",666,402.0,97,,,,,,,,,,402,2,5,28,0,0,0,0,10,0,5,0,0,1,0,0,68,0,0,9,0,16,0,1,14095,2,6,0,2,0,10,22,10,1,0.40000001,0.0,3.3333333,11.0,5.0,1,4698.3335,14166,708.2999900000001,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,9,1,1,12,14097,4699.0,75,62350,2413
Black Panther Group (Palestinian),1992,0,Black Panthers (West Bank/Gaza),"Israel, West Bank/Gaza",666,402.0,97,,,,,,,,,,402,5,4,25,0,0,0,0,10,0,7,0,0,4,0,0,86,0,0,24,0,46,0,7,14800,2,21,0,5,0,11,67,10,4,1.0,0.0,3.6666667,33.5,5.0,4,4933.3335,14912,745.59998,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,11,1,1,12,14802,4934.0,117,106878,4145
Black Panther Group (Palestinian),1995,0,Black Panthers (West Bank/Gaza),"Israel, West Bank/Gaza",666,402.0,97,,,,,,,,,,402,3,0,21,0,0,0,0,0,0,4,0,0,6,0,0,35,0,0,27,0,27,0,0,2736,1,6,0,3,0,4,33,0,6,0.60000002,0.0,1.3333334,16.5,0.0,6,912.0,2785,139.25,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,2,11,1,0,10,2737,912.33331,47,56922,2457
Black Panthers,1970,0,Black Panthers,United States,2,235.0,217,,,,,,,,,,235,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,4,0,22,0,0,1321,2,0,1,0,1,0,22,0,0,0.0,0.33333334,0.0,11.0,0.0,0,440.33334,1350,67.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,4,1,0,7,1323,441.0,593,63473,4
Black Panthers,1971,0,Black Panthers,United States,2,235.0,217,,,,,,,,,,235,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,9,0,0,2265,0,2,0,0,0,0,11,0,0,0.0,0.0,0.0,5.5,0.0,0,755.0,2283,114.15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,2,5,1,0,6,2265,755.0,308,34525,2
Black Panthers,1972,0,Black Panthers,United States,2,235.0,217,,,,,,,,,,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,19,0,1,0,0,0,0,3,0,0,0.0,0.0,0.0,1.5,0.0,0,6.3333335,22,1.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,3,1,0,4,19,6.3333335,95,12098,1
Black Revolutionary Assault Team,1971,0,Black Revolutionary Assault Team,United States,2,271.0,217,,,,,,,,,,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13888,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4629.3335,13888,694.40002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,13888,4629.3335,1,153,1
Black September,1971,0,Black September,"Jordan, Lebanon, West Bank/Gaza",663,349.0,102,6630204.0,,,,,,,,,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14800,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4933.3335,14800,740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,14800,4933.3335,3,575,1
Black September,1972,0,Black September,"Jordan, Lebanon, West Bank/Gaza",663,349.0,102,6630204.0,,,,,,,,,349,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,8,0,0,0,0,5996,0,0,0,0,0,1,0,0,0,0.0,0.0,0.33333334,0.0,0.0,0,1998.6666,5997,299.85001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,4,5996,1998.6666,30,6676,1
Black September,1973,0,Black September,"Jordan, Lebanon, West Bank/Gaza",663,349.0,102,6630204.0,,,,,,,,,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,1,5033,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1677.6666,5033,251.64999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,3,5033,1677.6666,51,13098,1
Black September,1974,0,Black September,"Jordan, Lebanon, West Bank/Gaza",663,349.0,102,6630204.0,,,,,,,,,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,15428,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5142.6665,15428,771.40002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,3,15428,5142.6665,20,5305,171
Black September,1976,0,Black September,"Jordan, Lebanon, West Bank/Gaza",663,349.0,102,6630204.0,,,,,,,,,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,19060,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.5,0.0,0,6353.3335,19061,953.0499900000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,3,19060,6353.3335,4,1868,79
Black Widows,2007,0,Black Widows,"Chechnya, Russia",365,,167,,,,,,,,,,298,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,7,0,0,8411,1,0,0,1,0,1,7,0,0,0.2,0.0,0.33333334,3.5,0.0,0,2803.6667,8422,421.10000999999994,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,6,8412,2804.0,4,9103,358
Black Widows,2008,0,Black Widows,"Chechnya, Russia",365,,167,,,,,,,,,,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2265,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,755.0,2265,113.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2265,755.0,2,3055,105
Black Widows,2009,0,Black Widows,"Chechnya, Russia",365,,167,,,,,,,,,,298,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,37,0,0,0,0,0,0,2,0,1,0.0,0.0,0.0,1.0,0.0,1,12.333333,40,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,5,37,12.333333,5,7344,349
Bodo Liberation Tigers (BLT),1996,0,Bodo Liberation Tigers,"Bhutan, India",760,40.0,25,,,,,,,,,,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,0,0,4434,0,0,0,0,0,1,0,0,0,0.0,0.0,0.33333334,0.0,0.0,0,1478.0,4435,221.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,4,4434,1478.0,6,3101,103
Bodo Liberation Tigers (BLT),1998,0,Bodo Liberation Tigers,"Bhutan, India",760,40.0,25,,,,,,,,,,40,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,0,0,0,13888,0,1,0,1,0,0,1,0,0,0.2,0.0,0.0,0.5,0.0,0,4629.3335,13890,694.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,6,13888,4629.3335,19,5770,170
Bodo Liberation Tigers (BLT),1999,0,Bodo Liberation Tigers,"Bhutan, India",760,40.0,25,,,,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,5033,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1677.6666,5033,251.64999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,3,5033,1677.6666,3,773,21
Bodo Liberation Tigers (BLT),2003,0,Bodo Liberation Tigers,"Bhutan, India",760,40.0,25,,,,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,17189,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5729.6665,17189,859.4500099999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,17189,5729.6665,7,3368,110
Bodo Liberation Tigers (BLT),2008,0,Bodo Liberation Tigers,"Bhutan, India",760,40.0,25,,,,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7505,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2501.6667,7505,375.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,7505,2501.6667,4,2226,70
Boere Aanvals Troepe (BAT),1997,0,Boere Aanvals Troepe (BAT),South Africa,560,282.0,183,,,,,,,,,,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,52.0,156,7.8000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,2,156,52.0,7,3240,97
Bolivarian Army of Liberation,1992,0,Bolivarian Liberation Forces (FBL),Venezuela,101,143.0,222,,,,,,,,,,143,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,1,0,0,37,2,0,0,1,0,0,1,0,0,0.2,0.0,0.0,0.5,0.0,0,12.333333,41,2.05,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,3,1,0,7,39,13.0,16,6792,220
Cambodian Freedom Fighters (CFF),2000,0,Cambodian Freedom Fighters (CFF),"Cambodia, United States",811,401.0,36,,,,,,,,,,401,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,13,0,0,0,0,2052,0,0,0,1,0,0,0,0,1,0.2,0.0,0.0,0.0,0.0,1,684.0,2054,102.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,2,0,0,6,2052,684.0,18,9101,327
Cambodian Freedom Fighters (CFF),2001,0,Cambodian Freedom Fighters (CFF),"Cambodia, United States",811,401.0,36,,,,,,,,,,401,2,0,10,0,0,0,0,2,0,1,0,0,0,0,0,31,0,0,1,0,1,0,0,5676,0,0,0,2,0,1,1,2,0,0.40000001,0.0,0.33333334,0.5,1.0,0,1892.0,5684,284.20001,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,2,1,0,8,5676,1892.0,12,10348,356
Canary Islands Independence Movement,1976,0,Canary Islands Independence Movement,"Algeria, Spain",615,202.0,6,,,,,,,,,,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10772,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,3590.6667,10772,538.59998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,10772,3590.6667,1,74,3
Canary Islands Independence Movement,1978,0,Canary Islands Independence Movement,"Algeria, Spain",615,202.0,6,,,,,,,,,,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14095,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4698.3335,14095,704.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,14095,4698.3335,1,156,7
Catholic Reaction Force,1983,0,Catholic Reaction Force (CRF),"Northern Ireland, United Kingdom",200,350.0,603,,,,,,,,,,350,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1517,0,0,0,27,0,0,0,0,0,5.4000001,0.0,0.0,0.0,0.0,0,505.66666,1544,77.199997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,3,1517,505.66666,8,3967,144
Catholic Reaction Force,2001,0,Catholic Reaction Force (CRF),"Northern Ireland, United Kingdom",200,350.0,603,,,,,,,,,,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,35,0,0,4,0,0,0,0,0,0,35,0,0,0.0,0.0,0.0,17.5,0.0,0,1.3333334,39,1.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,7,1,0,4,4,1.3333334,15,6517,255
Che Guevara Brigade,1976,0,Che Guevara Brigade,Argentina,160,316.0,11,,,,,,,,,,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.33333334,1,0.050000000999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,0.33333334,3,536,20
Che Guevara Brigade,1988,0,Che Guevara Brigade,Argentina,160,316.0,11,,,,,,,,,,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4.6666665,14,0.69999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,14,4.6666665,3,2626,86
Che Guevara Brigade,1990,0,Che Guevara Brigade,Argentina,160,316.0,11,,,,,,,,,,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,15,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,15,5.0,2,674,15
Chukakuha Revolutionary Army,2001,0,Chukakuha,Japan,740,,101,,,,,,,,,,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,929,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,309.66666000000004,929,46.450001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,929,309.66666000000004,2,606,16
Communist Party of India - Maoist (CPI-Maoist),2005,0,Communist Party of India-Maoist,India,750,33.0,92,,,,,,,,,,33,0,0,23,0,0,0,0,1,0,2,0,0,6,0,0,149,0,0,4,0,20,0,1,15124,4,0,0,0,0,2,20,1,6,0.0,0.0,0.66666669,10.0,0.5,6,5041.3335,15166,758.2999900000001,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,20,1,0,9,15128,5042.6665,114,81085,2806
Communist Party of India - Maoist (CPI-Maoist),2006,0,Communist Party of India-Maoist,India,750,33.0,92,,,,,,,,,,33,8,1,53,0,0,0,0,10,0,7,0,0,22,0,0,321,0,0,73,0,33,0,3,19060,2,10,0,8,0,8,43,10,22,1.6,0.0,2.6666667,21.5,5.0,22,6353.3335,19169,958.4500099999999,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,20,1,1,12,19062,6354.0,141,137427,4137
Communist Party of India - Maoist (CPI-Maoist),2007,0,Communist Party of India-Maoist,India,750,33.0,92,,,,,,,,,,33,0,2,16,0,0,0,0,1,0,4,0,0,8,0,0,93,0,0,3,0,20,0,3,17189,1,5,0,0,0,6,25,1,8,0.0,0.0,2.0,12.5,0.5,8,5729.6665,17242,862.0999800000001,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,21,1,1,11,17190,5730.0,98,69045,2318
Communist Party of India - Maoist (CPI-Maoist),2008,0,Communist Party of India-Maoist,India,750,33.0,92,,,,,,,,,,33,18,1,22,0,0,0,0,0,0,6,0,0,4,0,0,60,0,0,3,0,17,0,1,1528,1,1,0,18,0,7,18,0,4,3.5999999,0.0,2.3333333,9.0,0.0,4,509.33334,1578,78.900002,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,3,19,1,1,11,1529,509.66666,106,81214,2881
Communist Party of India - Maoist (CPI-Maoist),2009,0,Communist Party of India-Maoist,India,750,33.0,92,,,,,,,,,,33,4,3,51,0,0,0,0,11,0,8,0,0,7,0,0,217,0,0,1,0,55,0,2,2669,1,5,0,4,0,11,60,11,7,0.80000001,0.0,3.6666667,30.0,5.5,7,889.66669,2770,138.5,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,18,1,1,12,2670,890.0,196,130727,4556
Communist Party of India - Maoist (CPI-Maoist),2010,0,Communist Party of India-Maoist,India,750,33.0,92,,,,,,,,,,33,2,2,27,0,0,0,0,0,0,5,0,0,8,0,0,199,0,0,9,0,46,0,12,3175,18,6,0,2,0,7,52,0,8,0.40000001,0.0,2.3333333,26.0,0.0,8,1058.3334,3268,163.39999,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,3,18,1,1,11,3193,1064.3334,216,158967,5919
Communist Party of India - Maoist (CPI-Maoist),2011,0,Communist Party of India-Maoist,India,750,33.0,92,,,,,,,,,,33,1,3,37,0,0,0,0,4,0,5,0,0,7,0,0,52,0,0,3,0,35,0,4,13155,2,3,0,1,0,8,38,4,7,0.2,0.0,2.6666667,19.0,2.0,7,4385.0,13216,660.7999900000001,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,3,17,1,1,12,13157,4385.6665,64,69953,2300
Communist Party of India - Maoist (CPI-Maoist),2012,0,Communist Party of India-Maoist,India,750,33.0,92,,,,,,,,,,33,0,0,13,0,0,0,0,0,0,3,0,0,1,0,0,28,0,0,3,0,6,0,0,5676,3,2,0,0,0,3,8,0,1,0.0,0.0,1.0,4.0,0.0,1,1892.0,5692,284.60001,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,2,18,1,0,9,5679,1893.0,35,27088,932
Communist Party of India - Maoist (CPI-Maoist),2013,0,Communist Party of India-Maoist,India,750,33.0,92,,,,,,,,,,33,0,0,6,0,0,0,0,0,0,3,0,0,16,0,0,25,0,0,1,0,11,0,0,1517,0,1,0,0,0,3,12,0,16,0.0,0.0,1.0,6.0,0.0,16,505.66666,1548,77.400002,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,2,10,1,0,8,1517,505.66666,28,25762,917
Communist Party of Nepal- Maoist (CPN-M),2000,0,Communist Party of Nepal-Maoist (CPN-M),"India, Nepal",750,21.0,92,,,,,,,,,,21,0,0,19,0,0,0,0,2,0,1,0,0,0,0,0,53,0,0,0,0,21,0,0,4434,0,7,0,0,0,1,28,2,0,0.0,0.0,0.33333334,14.0,1.0,0,1478.0,4465,223.25,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,2,15,1,0,7,4434,1478.0,27,10731,303
Communist Party of Nepal- Maoist (CPN-M),2001,0,Communist Party of Nepal-Maoist (CPN-M),"India, Nepal",750,21.0,92,,,,,,,,,,21,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,23,0,0,6,0,49,0,2,5855,0,7,0,0,0,0,56,0,3,0.0,0.0,0.0,28.0,0.0,3,1951.6666,5921,296.04999,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,2,20,1,0,7,5855,1951.6666,63,43835,1527
Communist Party of Nepal- Maoist (CPN-M),2003,0,Communist Party of Nepal-Maoist (CPN-M),"India, Nepal",750,21.0,92,,,,,,,,,,21,0,0,7,0,0,0,0,1,0,3,0,0,7,0,0,16,0,0,4,0,24,0,0,5145,0,4,0,0,0,3,28,1,7,0.0,0.0,1.0,14.0,0.5,7,1715.0,5185,259.25,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,2,19,1,0,9,5145,1715.0,70,43125,1369
